股票代號,股票名稱,,近240日成交量合計,近240日籌碼集中度
00913,兆豐台灣晶圓製造,,70735,0.9
00915,凱基優選高股息30,,273264,2.7
00916,國泰全球品牌50,,230800,16.6
00917,中信特選金融,,297650,6.5
00918,大華優利高填息30,,46504,-2.4
00919,群益台灣精選高息,,464308,22.1
00920,富邦ESG綠色電力,,262138,1.6
01001T,土銀富邦R1,,35028,0.6
01002T,土銀國泰R1,,234672,1
01003T,兆豐新光R1,,253135,0.4
01004T,土銀富邦R2,,61377,1.1
01007T,兆豐國泰R2,,78528,0.4
01009T,王道圓滿R1,,11519,-0.4
01010T,京城樂富R1,,56911,1.3
020000,富邦特選蘋果N,,3348,0.2
020001,富邦存股雙十N,,1973,0
020002,元富新中國N,,1404,0
020007,凱基臺灣500N,,260,0
020011,統一微波高息20N,,1778,0
020012,富邦行動通訊N,,2288,0.8
020015,統一MSCI美低波N,,44,0
020016,統一MSCI美科技N,,2442,0
020018,統一價值成長30N,,7523,0.8
020019,統一特選台灣5GN,,5447,1.6
02001B,統一美國政府債N,,9902,0
02001L,富邦蘋果正二N,,34485,0
02001R,富邦蘋果反一N,,23305,0
02001S,策元大加權策略N,,3726,-7.4
020020,元大台股領航N,,57512,6.3
020022,元大電動車N,,131927,35
020023,元大櫃買半導體N,,85315,-1.2
020024,兆豐富櫃200N,,13742,0
020025,統一亞洲半導體N,,44507,1.3
020026,兆豐上櫃ESG電菁N,,1882,0
020027,元大上櫃ESG成長N,,86364,-1
020028,元大特選電動車N,,100161,9
020029,元大ESG高股息N,,124388,-4.6
02002L,兆豐富櫃200正二N,,108008,0
020030,統一智慧電動車N,,162402,-2.2
020031,統一IC設計臺灣N,,321030,-5.2
020032,元大綠能N,,83823,-8.3
020033,統一恒生科期N,,199082,-0.3
020034,元大IC設計N,,144932,-5.5
020035,元大上櫃ESG高息N,,8695,-8.9
1101,台泥,,6820319,-13.1
1101B,台泥乙特,,15732,-1
1102,亞泥,,2611066,0.3
1103,嘉泥,,95648,3.4
1104,環泥,,133390,-0.7
1108,幸福,,49690,2.6
1109,信大,,48048,-6.1
1110,東泥,,121101,1.1
1201,味全,,149402,2
1203,味王,,11815,9.4
1210,大成,,272268,-3.5
1213,大飲,,10742,1.2
1215,卜蜂,,97416,-3
1216,統一,,3135686,-1
1217,愛之味,,561206,1.8
1218,泰山,,433759,4.3
1219,福壽,,602747,-2
1220,台榮,,304615,-0.3
1225,福懋油,,19917,7.5
1227,佳格,,167943,-7.1
1229,聯華,,413284,-4.9
1231,聯華食,,73321,-1.8
1232,大統益,,19551,-8
1233,天仁,,5105,10.5
1234,黑松,,45972,-17.9
1235,興泰,,10823,3.4
1236,宏亞,,121050,-1.7
1240,茂生農經,,41440,-0.4
1256,鮮活果汁-KY,,5077,0.6
1258,其祥-KY,,185699,-0.3
1259,安心,,3123,14
1264,德麥,,2757,-21.8
1268,漢來美食,,11924,-2.9
1301,台塑,,3359860,-7.3
1303,南亞,,3295269,-5
1304,台聚,,950471,-3.3
1305,華夏,,535570,2.9
1307,三芳,,25158,0.6
1308,亞聚,,716670,0
1309,台達化,,171097,-0.6
1310,台苯,,163231,-2.1
1312,國喬,,1034955,2.1
1312A,國喬特,,3888,-3.1
1313,聯成,,469518,-0.6
1314,中石化,,3235428,0
1315,達新,,6762,5.7
1316,上曜,,1036818,-0.6
1319,東陽,,1580139,1.6
1321,大洋,,49535,-0.1
1323,永裕,,28544,7.5
1324,地球,,15100,2.9
1325,恆大,,217222,0.4
1326,台化,,1486002,-2.8
1336,台翰,,85319,4.3
1337,再生-KY,,145950,3.8
1338,廣華-KY,,70580,1.4
1339,昭輝,,54816,2.2
1340,勝悅-KY,,25021,7.3
1341,富林-KY,,4329,-3.3
1342,八貫,,164905,-1.1
1402,遠東新,,3499897,5.5
1409,新纖,,586375,-3.7
1410,南染,,134678,-1.4
1413,宏洲,,46954,0.3
1414,東和,,80932,12.2
1416,廣豐,,53402,7.4
1417,嘉裕,,339237,-1.6
1418,東華,,15869,0.7
1419,新紡,,20846,-4
1423,利華,,39302,5
1432,大魯閣,,138665,-3
1434,福懋,,460076,-12
1435,- -,,21998,13.3
1436,華友聯,,18431,0
1437,勤益控,,87115,-1.6
1438,三地開發,,22330,3
1439,雋揚,,11911,5.8
