股票代號,股票名稱,,近240日成交量合計,近240日籌碼集中度
6233,旺玖,,159309,-0.9
6234,高僑,,66320,-2
6235,華孚,,2648243,0
6236,康呈,,403,0
6237,驊訊,,337956,0.1
6239,力成,,990168,-3.7
6240,松崗,,34295,0.2
6241,易通展,,100100,-3.8
6242,立康,,20587,-1.7
6243,迅杰,,78144,0.3
6244,茂迪,,661323,-0.7
6245,立端,,705474,1.8
6246,臺龍,,11399,5.5
6247,淇譽電,,8411,19
6248,沛波,,43788,1.9
6251,- -,,1069882,- -
6257,矽格,,522273,-2
6259,百徽,,28473,-3
6261,久元,,78952,0.1
6263,普萊德,,11320,1.2
6264,富裔,,26697,5.4
6265,方土昶,,400623,0.3
6266,泰詠,,383386,-0.3
6269,台郡,,509605,7
6270,倍微,,32724,2
6271,同欣電,,560500,-1.3
6274,台燿,,626433,-5.3
6275,元山,,156184,0.4
6276,安鈦克,,23513,0.1
6277,宏正,,14305,-2.2
6278,台表科,,778534,-1.1
6279,胡連,,593214,0.4
6281,全國電,,9336,-2.2
6282,康舒,,1025834,0.2
6283,淳安,,114258,1
6284,佳邦,,97045,2.3
6285,啟碁,,1090613,2.6
6287,元隆,,14767,-3
6288,聯嘉,,176738,-0.8
6289,- -,,29220,- -
6290,良維,,401326,2.6
6291,沛亨,,7276,4.9
6292,迅德,,14043,0
6294,智基,,8062,-17.4
6404,通訊-KY,,882,0.4
6405,悅城,,14712,1.2
6409,旭隼,,71804,0.2
6411,晶焱,,369575,-1.8
6412,群電,,91358,-1.1
6414,樺漢,,242857,0.6
6415,矽力*-KY,,581183,-0.6
6416,瑞祺電通,,46793,5.6
6417,韋僑,,13449,1.4
6418,詠昇,,58849,0.4
6419,京晨科,,7480,2.1
6425,易發,,21132,-1.1
6426,統新,,50492,1
6431,光麗-KY,,17875,-1
6432,今展科,,44621,-0.5
6435,大中,,111816,-0.1
6438,迅得,,235690,-0.2
6441,廣錠,,58541,0.9
6442,光聖,,227913,-0.8
6443,元晶,,4804940,0.1
6446,藥華藥,,372927,1
6449,鈺邦,,11308,9.2
6451,訊芯-KY,,51110,5.4
6456,GIS-KY,,362936,0.5
6457,紘康,,65392,-4.5
6461,益得,,913390,-0.1
6462,神盾,,58817,-0.3
6464,台數科,,19692,2.2
6465,威潤,,39982,-0.5
6469,大樹,,217246,1.1
6470,宇智,,395328,-0.4
6472,保瑞,,485982,1.1
6477,安集,,1309982,-0.6
6482,弘煜科,,3544,4.2
6485,點序,,204634,-0.1
6486,互動,,9834,-9.9
6488,環球晶,,744792,-3.1
6491,晶碩,,162968,1.3
6492,生華科,,76523,-1.1
6494,九齊,,68683,-1.7
6496,科懋,,4499,4.8
6499,益安,,54428,-2.9
6504,南六,,18705,9.3
6505,台塑化,,992649,-3.7
6506,雙邦,,32609,-0.9
6508,惠光,,911113,-0.3
6509,聚和,,364992,1.1
6510,精測,,52918,-1.4
6512,啟發電,,16144,2.6
6514,芮特-KY,,61747,0.6
6515,穎崴,,150249,1
6516,勤崴國際,,5911,4
6517,保勝光學,,28513,-3.5
6523,達爾膚,,48757,0.3
6525,捷敏-KY,,54391,-1.1
6527,明達醫,,33296,-2.6
6530,創威,,55668,0.4
6531,愛普*,,896804,-1.2
6532,瑞耘,,89878,1.1
6533,晶心科,,667475,0
6535,順藥,,84724,1.2
6538,倉和,,68638,0.6
6541,泰福-KY,,259545,-2.9
6542,隆中,,7111,0.6
6546,正基,,186730,-2.5
6547,高端疫苗,,662491,-0.5
6548,長科*,,197076,-0.7
6550,北極星藥業-KY,,1029008,-1.2
6552,易華電,,14380,-1.1
6556,勝品,,8859,-2.9
6558,興能高,,42985,0.1
6560,欣普羅,,15479,-11.1
6561,是方,,6697,1.9
6568,宏觀,,145953,-1.5
6569,醫揚,,4453,-2.1
6570,維田,,102318,-2.1
6573,虹揚-KY,,30130,1.1
6574,霈方,,1698,-0.1
6576,逸達,,170227,2.1
6577,勁豐,,2855,-8.2
6578,達邦蛋白,,190059,-1.3
6579,研揚,,22331,5.3
6581,鋼聯,,52741,0.8
6582,申豐,,55303,-6.6
6585,鼎基,,34508,0.1
6588,東典光電,,5070,-5
6589,台康生技,,925305,0.4
6590,普鴻,,2952,2.8
6591,動力-KY,,55990,-0.8
6592,和潤企業,,185035,-2
6592A,和潤企業甲特,,3014,22.7
6593,台灣銘板,,11122,0.6
6594,展匯科,,16487,-0.5
6596,寬宏藝術,,6314,-7.7
6598,ABC-KY,,245365,-1
6603,富強鑫,,328074,0.6
6605,帝寶,,230916,1.4
6609,瀧澤科,,94698,-0.1
6612,奈米醫材,,37963,0.8
6613,朋億*,,12653,-1.6
6615,慧智,,3105,-1
6616,特昇-KY,,66425,-2.8
6624,萬年清,,4429,11.7
6625,必應,,17284,-2.6
6629,泰金-KY,,1339,-0.5
6640,均華,,2757,5.1
6641,基士德-KY,,2900,-3.8
6642,富致,,10770,-4.5
6643,M31,,257279,0.9
6649,台生材,,45073,-1.6
6651,全宇昕,,26650,-2.9
6654,天正國際,,7753,-1.5
6655,科定,,10684,3
6661,威健生技,,4800,-1.7
6662,樂斯科,,4689,-5
6664,群翊,,52801,0.6
6666,羅麗芬-KY,,45006,-1.8
6667,信紘科,,84077,0.8
6668,中揚光,,59865,-1.5
6669,緯穎,,305187,-0.5
6670,復盛應用,,84704,-2.4
6671,三能-KY,,5293,-2.3
6672,騰輝電子-KY,,73710,0.2
6674,鋐寶科技,,5847,6.9
6679,鈺太,,154746,-2.1
6680,鑫創電子,,1837,2.1
6683,雍智科技,,57422,-4.4
6684,安格,,33852,-3.4
6689,伊雲谷,,24475,-6.7
6690,安碁資訊,,6394,1.1
6691,洋基工程,,18403,-0.2
6693,廣閎科,,26407,-0.7
6695,芯鼎,,31206,-4.5
6697,東捷資訊,,1590,1.3
6698,旭暉應材,,47007,1.9
6703,軒郁,,13699,-1.2
6706,惠特,,348036,-3.9
6708,天擎,,3740,-9.1
6712,長聖,,269215,-0.5
6715,嘉基,,104001,0.8
6716,應廣,,5734,1.6
6719,力智,,381577,-2.1
6721,信實,,4538,-7.8
6727,亞泰金屬,,27785,-2.3
6728,上洋,,14710,-3.9
6732,昇佳電子,,41704,-2.2
6733,博晟生醫,,35755,-7.3
6735,美達科技,,8389,1.6
6741,91APP*-KY,,138084,-3.6
6743,安普新,,59261,-0.5
6747,亨泰光,,7221,-21.6
6751,智聯服務,,10490,-2.5
6752,叡揚,,7157,-0.8
6754,匯僑設計,,27069,-1.1
6756,威鋒電子,,165029,-0.9
6761,穩得,,7707,1.5
6762,達亞,,1715,2.4
6763,綠界科技,,8364,-2.1
6767,台微醫,,20437,-3.6
6768,志強-KY,,126031,-2.3
6770,力積電,,5910332,-2.2
6776,展碁國際,,12280,-2
6781,AES-KY,,281321,-1.2
6782,視陽,,27644,0.8
6788,華景電,,114994,-1.9
6789,采鈺,,139825,-3.9
6790,永豐實,,21890,-11.5
6791,虎門科技,,3934,3
6792,詠業,,33894,0.6
6796,晉弘,,53296,-3.3
6799,來頡,,48253,-0.4
6803,崑鼎,,7161,-3.7
6804,明係,,10583,0.5
6806,森崴能源,,267581,-0.8
6807,峰源-KY,,9094,-5.6
6811,宏碁資訊,,14421,5.5
6823,濾能,,7322,1.3
6829,千附精密,,44460,-3
6830,汎銓,,14803,-2.6
6834,天二科技,,11195,-1
6835,圓裕,,12957,5.1
6843,進典,,9530,1.3
6854,錼創科技-KY創,,16648,-8.2
6855,數泓科,,3693,1.9
6859,伯特光,,6208,2.5
6874,倍力,,3416,0.4
7402,邑錡,,5371,2.7
7556,意德士,,3790,7.1
8011,台通,,134890,-0.1
8016,矽創,,321812,-3.6
8021,尖點,,124327,-2.1
8024,佑華,,78357,1.9
8027,鈦昇,,150364,-1.6
8028,昇陽半導體,,1405099,-0.2
8032,光菱,,36289,-0.9
8033,雷虎,,540136,0
8034,榮群,,76412,1.8
8038,長園科,,57773,-0.2
8039,台虹,,82400,0
8040,九暘,,325812,0.2
8042,金山電,,9312,12.9
8043,蜜望實,,37981,1.1
8044,網家,,309781,-3.5
8046,南電,,2189703,-2.4
8047,星雲,,11040,6.5
8048,德勝,,13760,-0.5
8049,晶采,,159572,1.4
8050,廣積,,1021529,0.8
8054,安國,,262396,-0.4
8059,凱碩,,19194,5.6
8064,東捷,,76856,0
8066,來思達,,13688,0.7
8067,志旭,,8317,-0.7
8068,全達,,26978,-3.3
8069,元太,,6103666,0.2
8070,長華*,,284043,6.6
8071,能率網通,,308149,1.5
8072,陞泰,,73793,-3.1
8074,鉅橡,,43043,0.6
8076,伍豐,,260118,-1.3
8077,洛碁,,3273,1.5
8080,永利聯合,,5168,10.9
8081,致新,,136769,-4.8
8083,瑞穎,,18735,1.6
8084,巨虹,,89645,-1.6
8085,福華,,118387,8.3
8086,宏捷科,,419269,-1.5
8087,華鎂鑫,,50442,-3.8
8088,品安,,36628,5
8089,康全電訊,,33403,-0.2
8091,翔名,,148528,-0.1
8092,建暐,,34396,4.2
8093,保銳,,23730,1.6
8096,擎亞,,385778,0.1
8097,常珵,,291545,-1.2
8099,大世科,,24906,9.5
8101,華冠,,44266,5.1
8103,瀚荃,,109406,-0.3
8104,錸寶,,266099,-2.5
8105,凌巨,,356786,1
8107,大億金茂,,52051,0.6
8109,博大,,18534,0.9
8110,華東,,279818,1.8
8111,立碁,,161817,-0.6
8112,至上,,588242,-6.2
8112A,至上甲特,,14502,-10.9
8114,振樺電,,442070,-0.4
8121,越峰,,258145,-0.6
8131,福懋科,,79373,-1.7
8147,正淩,,46900,-0.4
8150,南茂,,1116362,-4.5
8155,博智,,451273,-1.1
8163,達方,,198226,-0.7
8171,天宇,,152185,-0.3
8176,智捷,,41281,-0.5
8182,加高,,33816,8.4
8183,精星,,722122,-0.1
8201,無敵,,265468,-0.1
8210,勤誠,,92884,-0.6
8213,志超,,243403,0.3
8215,明基材,,432197,0.4
8222,寶一,,756476,-0.1
8227,巨有科技,,15140,-4
8234,新漢,,205530,1.7
8240,華宏,,11799,5.4
8249,菱光,,40641,1.8
8255,朋程,,319671,0.4
8261,富鼎,,958833,-0.2
8271,宇瞻,,95562,1.5
8277,商丞,,27921,-0.3
8279,生展,,19022,6.5
8284,三竹,,22910,1.3
8289,泰藝,,159484,2
8291,尚茂,,4126,1
8299,群聯,,551324,0.1
8341,日友,,78549,-6.9
8342,益張,,2480,7.8
8349,恒耀,,93083,-1.5
8349A,恒耀國際股份有限公司甲種特別股,,1629,8
8354,冠好,,13056,-13.9
8358,金居,,672002,-1.8
8367,建新國際,,29485,3.8
8374,羅昇,,16382,7.7
8383,千附,,49508,1.4
8390,金益鼎,,248402,0.2
8401,白紗科,,127097,-1
8403,盛弘,,215984,1.9
8404,百和興業-KY,,51992,-0.8
8406,- -,,20427,- -
8409,商之器,,58684,-0.9
8410,森田,,6072,6.1
8411,福貞-KY,,46708,0.1
8415,大國鋼,,531766,5.3
8416,實威,,3645,-3.9
8418,捷必勝-KY,,9897,-2.1
8420,明揚,,80722,-1.2
8421,旭源,,335408,-0.5
8422,可寧衛,,68944,-9.3
8423,保綠-KY,,1514,-5.5
8424,惠普,,4442,1
8426,紅木-KY,,27905,3.3
8427,- -,,3776,- -
8429,金麗-KY,,75383,1.6
8431,匯鑽科,,74837,3.7
8432,東生華,,25060,2.6
8433,弘帆,,31811,-0.3
8435,鉅邁,,6206,-3.1
8436,大江,,240760,0
8437,大地-KY,,5327,-21.7
8438,昶昕,,17692,-4.5
8440,綠電,,878868,-0.4
8442,威宏-KY,,38147,-0.6
8443,阿瘦,,17873,-0.7
8444,綠河-KY,,11648,-1.9
8446,華研,,9697,-1.7
8450,霹靂,,159001,-0.5
8454,富邦媒,,236763,-1.7
8455,大拓-KY,,2522,3.5
8462,柏文,,12962,2.3
8463,潤泰材,,50884,-3.4
8464,億豐,,209590,-1.1
8466,美吉吉-KY,,10864,-3.3
8467,波力-KY,,32860,-0.5
8472,夠麻吉,,2256,2
8473,山林水,,10759,-2
8476,台境,,30502,1.8
8477,創業家,,11710,-2.4
8478,東哥遊艇,,937646,0.2
8480,- -,,6333,- -
8481,政伸,,10067,-17
8482,商億-KY,,5336,2.1
8488,吉源-KY,,3881,2.7
8489,三貝德,,26253,-1.4
8499,鼎炫-KY,,7541,-2.3
8905,裕國,,86377,2.7
8906,花王,,9424,3.3
8908,欣雄,,11632,-14.1
8916,光隆,,287332,0.3
8916A,光隆甲特,,15937,11.7
8917,欣泰,,1611,2.6
8921,沈氏,,3194,0.9
8923,時報,,3065,4.1
8924,大田,,109903,-2.6
8926,台汽電,,187894,-4.5
8927,北基,,126135,4.9
8928,鉅明,,117778,0.6
8929,富堡,,7759,-1.9
8930,青鋼,,89995,0.6
8931,大汽電,,28267,2.2
8932,宏大,,110591,3.2
8933,愛地雅,,1125165,1
8935,邦泰,,36622,13
8936,國統,,141621,1.8
8937,合騏,,19856,0.5
8938,明安,,240059,0.9
8940,新天地,,36837,-0.3
8941,關中,,17455,0.4
8942,森鉅,,40904,-2.1
8996,高力,,1699968,0.8
9103,美德醫療-DR,,313502,2.4
910322,康師傅-DR,,8302,2.3
9105,泰金寶-DR,,719237,-1.7
910861,神州-DR,,64053,0.2
9110,越南控-DR,,22765,19.9
911608,明輝-DR,,68269,2.1
911622,泰聚亨-DR,,23860,14.5
911868,同方友友-DR,,79136,8.2
912000,晨訊科-DR,,108735,8.1
9136,巨騰-DR,,177124,1
9188,- -,,53975,- -
9802,鈺齊-KY,,694067,1.8
9902,台火,,55912,4.5
9904,寶成,,2433831,-0.5
9905,大華,,16136,-6
9906,欣巴巴,,18933,1.5
9907,統一實,,1340888,3.9
9908,大台北,,25603,-10.4
9910,豐泰,,439333,-0.4
9911,櫻花,,52874,-12
9912,偉聯,,41860,0.1
9914,美利達,,285348,-3.9
9917,中保科,,83310,-7.2
9918,欣天然,,5602,1.9
9919,康那香,,1169266,0.2
9921,巨大,,362308,-3
9924,福興,,36524,-0.1
9925,新保,,39224,-6.2
9926,新海,,3927,-6.4
9927,泰銘,,84316,-3.7
9928,中視,,47475,-3.9
9929,秋雨,,34037,-0.9
9930,中聯資源,,18709,7.6
9931,欣高,,2341,-5
9933,中鼎,,794804,3.6
9934,成霖,,88085,0.1
9935,慶豐富,,39077,2.6
9937,全國,,19795,0.6
9938,百和,,268979,-7.8
9939,宏全,,285128,4
9940,信義,,109677,-1.3
9941,裕融,,213713,-6.3
9941A,裕融企業甲種特別股,,9294,3.2
9942,茂順,,76702,1.6
9943,好樂迪,,15345,1.4
9944,新麗,,47022,-0.5
9945,潤泰新,,1950247,-1.3
9946,三發地產,,23431,-0.4
9949,琉園,,19509,12.1
9950,萬國通,,9286,8
9951,皇田,,21785,-4.1
9955,佳龍,,421056,0.1
9958,世紀鋼,,838672,-0.4
9960,邁達康,,12067,-1.4
9962,有益,,244219,2
