,predicted_price,true_price
127,0.1942483,0.19878441
128,0.19832064,0.21129782
129,0.2038242,0.20164461
130,0.20506267,0.19520915
131,0.20502536,0.20307472
132,0.20679186,0.22166607
133,0.21076252,0.21773328
134,0.21338917,0.21344298
135,0.21541889,0.2041473
136,0.21500207,0.193064
137,0.2111514,0.2055774
138,0.20886798,0.19878441
139,0.20631169,0.19270647
140,0.20382564,0.19592421
141,0.20307492,0.19127637
142,0.20171757,0.1944941
143,0.19969098,0.19592421
144,0.19920994,0.19413657
145,0.19901656,0.18555595
146,0.19754873,0.19485162
147,0.19867991,0.19806936
148,0.20034204,0.18948874
149,0.19987832,0.18841615
150,0.19916947,0.18305327
151,0.1976959,0.18984626
152,0.197533,0.17411512
153,0.19323502,0.16338934
154,0.18830495,0.16589202
155,0.18437527,0.1737576
156,0.1833558,0.17125492
157,0.18125002,0.17912048
158,0.18283014,0.16624956
159,0.18146168,0.16017161
160,0.17884092,0.16124418
161,0.17620693,0.16124418
162,0.17469464,0.13693243
163,0.16799836,0.12799428
164,0.16245751,0.12513407
165,0.15743725,0.11905613
166,0.15071498,0.13192706
167,0.14723529,0.1297819
168,0.14532833,0.144798
169,0.14708345,0.14658563
170,0.14889126,0.14301036
171,0.15074126,0.15623882
172,0.15439673,0.15409367
173,0.15808181,0.15766893
174,0.1603996,0.16124418
175,0.16336142,0.15623882
176,0.16513623,0.15480873
177,0.16493802,0.15516625
178,0.16480948,0.14730068
179,0.1625907,0.14301036
180,0.15926985,0.14444047
181,0.15704401,0.14837326
182,0.1556531,0.14193779
183,0.15339832,0.13192706
184,0.14988245,0.13836253
185,0.14820407,0.14551304
186,0.14837088,0.13585985
187,0.14708354,0.12870933
188,0.14438336,0.13085449
189,0.14402257,0.11798356
190,0.1404242,0.11691098
191,0.13666128,0.10797283
192,0.13250683,0.11440829
193,0.13100894,0.105827674
194,0.12686066,0.10511262
195,0.1245036,0.097962104
196,0.120377526,0.09009653
197,0.11476211,0.08580622
198,0.10904662,0.08759385
199,0.10589342,0.07794065
200,0.101506785,0.08795138
201,0.10214752,0.075795494
202,0.10057311,0.0704326
203,0.09664337,0.06864498
204,0.09263396,0.0690025
205,0.089781076,0.06864498
206,0.086494714,0.0690025
207,0.085357085,0.07150518
208,0.08542015,0.07543797
209,0.08588372,0.072220236
210,0.086653784,0.0675724
211,0.085529685,0.0690025
212,0.08466977,0.086521275
